Star Wars: The Last Jedi,BV,620181382,4232,220009584,4232,12/15,4/19
Wonder Woman,WB,412563408,4165,103251471,4165,6/2,11/9
Guardians of the Galaxy Vol. 2,BV,389813101,4347,146510104,4347,5/5,9/21
It,WB (NL),327481748,4148,123403419,4103,9/8,12/14
Despicable Me 3,Uni.,264624300,4535,72434025,4529,6/30,12/21
Logan (2017),Fox,226277068,4071,88411916,4071,3/3,7/13
Coco,BV,209726015,3987,50802605,3987,11/22,4/26
Get Out,Uni.,176040665,3143,33377060,2781,2/24,2/15
The Boss Baby,Fox,175003033,3829,50198902,3773,3/31,11/2
Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,4276,62983253,4276,5/26,9/21
Kong: Skull Island,WB,168052812,3846,61025472,3846,3/10,6/15
War for the Planet of the Apes,Fox,146880162,4100,56262929,4022,7/14,11/30
Wonder,LGF,132422809,3519,27547866,3096,11/17,3/22
Girls Trip,Uni.,115171585,2648,31201920,2591,7/21,10/19
Baby Driver,TriS,107825862,3226,20553320,3226,6/28,10/19
Daddy's Home 2,Par.,104029443,3575,29651193,3575,11/10,2/15
Annabelle: Creation,WB (NL),102092201,3565,35006404,3502,8/11,11/2
Blade Runner 2049,WB,92054159,4058,32753122,4058,10/6,2/1
The Emoji Movie,Sony,86089513,4075,24531923,4075,7/28,11/30
Ferdinand,Fox,84410380,3630,13401586,3621,12/15,5/31
The Hitman's Bodyguard,LG/S,75468583,3377,21384504,3377,8/18,11/2
Captain Underpants: The First Epic Movie,Fox,73921000,3529,23851539,3434,6/2,11/2
A Dog's Purpose,Uni.,64508620,3178,18222810,3059,1/27,5/18
The LEGO Ninjago Movie,WB,59281555,4047,20433071,4047,9/22,11/30
The Shack,LG/S,57386418,2888,16172119,2888,3/3,5/18
Happy Death Day,Uni.,55683845,3535,26039025,3149,10/13,12/14
Lion,Wein.,51738905,1802,123360,4,1/6,5/11
American Made,Uni.,51342000,3098,16776390,3024,9/29,12/14
Lady Bird,A24,48958273,1557,364437,4,11/24,4/5
Snatched,Fox,45852178,3511,19542248,3501,5/12,8/3
Smurfs: The Lost Village,Sony,45020282,3610,13210449,3610,4/7,8/3
All Eyez on Me,LG/S,44922302,2471,26435354,2471,6/16,8/3
47 Meters Down,ENTMP,44307192,2471,11205561,2270,6/16,10/19
Valerian and the City of a Thousand Planets,STX,41189488,3553,17007624,3553,7/21,9/21
Ghost in the Shell (2017),Par.,40563557,3440,18676033,3440,3/31,5/25
Jigsaw,LGF,38052832,2941,16640452,2941,10/27,12/21
The Foreigner,STX,34393507,2515,13113024,2515,10/13,12/21
Wind River,Wein.,33800859,2890,161558,4,8/18,12/7
Monster Trucks,Par.,33370166,3119,10950705,3119,1/13,3/16
How to be a Latin Lover,PNT,32149404,1203,12252439,1118,4/28,6/22
Kidnap (2017),Aviron,30718107,2418,10016323,2378,8/4,11/16
The Mountain Between Us,Fox,30348555,3259,10551336,3088,10/6,12/21
The Nut Job 2: Nutty by Nature,ORF,28370522,4003,8342311,4003,8/11,9/28
Logan Lucky,BST,27780977,3031,7600036,3031,8/18,11/9
Resident Evil: The Final Chapter,SGem,26830068,3104,13601682,3104,1/27,3/30
All the Money in the World,TriS,25113707,2123,5584684,2074,12/25,3/22
Downsizing,Par.,24449754,2668,4954287,2668,12/22,2/1
Victoria and Abdul,Focus,22245070,1060,158845,4,10/6,1/4
My Little Pony: The Movie,LGF,21885107,2528,8885899,2528,10/6,-
The Disaster Artist,A24,21120616,1010,1211345,19,12/8,3/8
Beauty and the Beast (2017),BV,504014165,4210,174750616,4210,3/17,7/13
Jumanji: Welcome to the Jungle,Sony,404515480,3849,36169328,3765,12/20,5/31
Spider-Man: Homecoming,Sony,334201140,4348,117027503,4348,7/7,11/30
Thor: Ragnarok,BV,315058289,4080,122744989,4080,11/3,3/15
Justice League,WB,229024295,4051,93842239,4051,11/17,3/15
The Fate of the Furious,Uni.,226008385,4329,98786705,4310,4/14,8/10
Dunkirk,WB,188045546,4014,50513488,3720,7/21,11/23
The LEGO Batman Movie,WB,175750384,4088,53003468,4088,2/10,6/8
The Greatest Showman,Fox,174340174,3342,8805843,3006,12/20,7/26
Hidden Figures,Fox,169607287,3416,515499,25,1/6,11/9
Cars 3,BV,152901115,4256,53688680,4256,6/16,11/2
Split,Uni.,138291365,3373,40010975,3038,1/20,5/11
Transformers: The Last Knight,Par.,130168683,4132,44680073,4069,6/21,8/24
Fifty Shades Darker,Uni.,114581250,3714,46607250,3710,2/10,4/6
Pitch Perfect 3,Uni.,104897530,3468,19928525,3447,12/22,3/8
Murder on the Orient Express (2017),Fox,102826543,3354,28681472,3341,11/10,-
Kingsman: The Golden Circle,Fox,100234838,4038,39023010,4003,9/22,1/4
John Wick: Chapter Two,LG/S,92029184,3113,30436123,3113,2/10,4/27
Power Rangers (2017),LGF,85364450,3693,40300288,3693,3/24,6/1
The Mummy (2017),Uni.,80227895,4035,31688375,4035,6/9,8/24
Alien: Covenant,Fox,74262031,3772,36160621,3761,5/19,8/31
A Bad Moms Christmas,STX,72110659,3615,16759161,3615,11/1,1/11
The Shape of Water,FoxS,63859435,2341,166564,2,12/22,5/3
Baywatch,Par.,58060186,3647,18503871,3647,5/25,7/27
Darkest Hour,Focus,56468410,1733,175006,4,12/22,4/12
"Three Billboards Outside Ebbing, Missouri",FoxS,54513740,1726,322168,4,12/1,5/3
Atomic Blonde,Focus,51687870,3326,18286420,3304,7/28,10/5
The Dark Tower,Sony,50701325,3451,19153698,3451,8/4,10/19
Tyler Perry's Boo 2! A Madea Halloween,LGF,47319572,2388,21226953,2388,10/20,12/14
The Great Wall,Uni.,45540830,3328,18469620,3326,2/17,6/1
Going in Style (2017),WB (NL),45018541,3076,11932330,3061,4/7,7/13
xXx: The Return of Xander Cage,Par.,44898413,3651,20130142,3651,1/20,3/16
The Big Sick,LGF,42873127,2597,421577,5,7/14,10/22
The Star,Sony,40852824,2976,9812674,2837,11/17,2/15
King Arthur: Legend of the Sword,WB,39175066,3702,15371270,3702,5/12,7/20
American Assassin,LGF,36249674,3154,14846778,3154,9/15,11/9
"Everything, Everything",WB,34121140,2801,11727390,2801,5/19,7/27
Geostorm,WB,33700160,3246,13707376,3246,10/20,1/11
Fist Fight,WB (NL),32187017,3185,12201873,3185,2/17,4/13
Patriots Day,LGF,31886361,3120,161306,7,1/13,3/9
Underworld: Blood Wars,SGem,30353973,3070,13688751,3070,1/6,3/9
Life (2017),Sony,30234022,3146,12501936,3146,3/24,6/1
Rings,Par.,27793018,2931,13002632,2931,2/3,3/23
Home Again,ORF,27020284,3036,8567881,2940,9/8,11/9
The House,WB (NL),25584504,3134,8724795,3134,6/30,8/31
Gifted,FoxS,24801212,2215,446380,56,4/12,8/24
The Bye Bye Man,STX,22395806,2220,13501349,2220,1/13,2/16
Rough Night,Sony,22105643,3162,8004283,3162,6/16,8/31
Leap!,Wein.,21858070,2705,4730038,2575,8/25,12/7
Sleepless,ORF,20783704,1803,8344128,1803,1/13,3/9
